input	output
tell @CN@ that i love to watch house of cards series today	hi @CN@, @SCN@ says that they love to watch house of cards series today
ask @CN@, what do you look for in a girlfriend or a boyfriend?	hey @CN@, @SCN@ asks what do you look for in a girlfriend or a boyfriend?
ask @CN@ about where they bought their new car.	@CN@, @SCN@ wants to know where you bought your new car
please ask @CN@ why i have to answer so many questions.	hello @CN@, @SCN@ would like to know why they have to answer so many questions.
ask @CN@ , can you switch on the computer?	hi @CN@ , @SCN@ woud like to know if you can switch on the computer
ask @CN@ about the submission of her reports	hi @CN@ , @SCN@ would like to know about the submission of your reports
please ask @CN@ , will you buy dinner for your parents.	hi @CN@ , @SCN@ would like to know, if you would buy dinner for your parents.
ask @CN@ where shall we buy food today	hi @CN@, @SCN@ is asking where shall we buy food today
ask @CN@ , can you prepare coffee for me	hey @CN@ , @SCN@ wants to know if you can prepare coffee for them
call @CN@ to the finals of world cup football	hi @CN@ , @SCN@ wonders if you could join her to the finals of worldcup football
tell @CN@ to go look for the shopping basket in the mall	hi @CN@, @SCN@ asks to look for the shopping basket in the mall
ask @CN@ , why were they late?	hey @CN@ , @SCN@ wants to know why they were late?
ask @CN@ ,do you like painting?	hi @CN@ , @SCN@ wants to know whether you like painting?
can you ask @CN@ , can i go to the ball?	hey @CN@ , @SCN@ wants to know if she can go to the ball
ask @CN@, where is the keys	hi @CN@, @SCN@ wants to know where is the keys
ask @CN@ ,if he could swim really well	hi @CN@ , @SCN@ seeks to know whether he could really well
ask @CN@ , can you plan some fun activities	hey @CN@ , @SCN@ would like to know if you can plan some fun activities
can you ask @CN@ to fill the bottle	hi @CN@ , @SCN@ likes you to fill the bottle.
ask @CN@ to come over for tea during bubambi.	hello @SCN@, @CN@ invites you for tea during dubambi.
tell @CN@ , @SCN@ everyday goes to library to study.	hey @CN@ , @SCN@ is saying @SCN@ everyday goes to library to study.
can you ask @CN@ for nutritious smoothie	hi @CN@ , @SCN@ wants to nutritious smoothie
can you tell @CN@ that there is a personal meeting	hey @CN@ , @SCN@ informs that there is a personal meeting
ask @CN@, about which flight booking status is he asking about	hi @CN@, @SCN@ is asking which flight booking status you are asking about
please ask @CN@ about the folder	hi @CN@ , @SCN@ wanted to know about the folder.
ask @CN@ about the story of the movie	hey @CN@ , @SCN@ wants to know about the story of the movie
ask @CN@ for reducing the blower	hi @CN@ , @SCN@ enquires about the reducing the blower
ask @CN@ , do you know the rules of that organisation?	hey @CN@ , @SCN@ wants to know if you knew the rules of that organisation
ask @CN@ do you like listening to rock music	hey @CN@ , @SCN@ wants to know whether you like listening to rock music
can you ask @CN@ to take out the trash?	hey @CN@, @SCN@ wants you to take out the trash.
can you tell @CN@ that the auto payment is safe	hey @CN@ , @SCN@ says that the auto payment is safe
can you ask @CN@ to use specs regularly	hi @CN@ , @SCN@ asks you to use specs regularly
ask @CN@ do you smoke at public places?	@SCN@ asks do you smoke at public places?
please ask @CN@ , are you concerned about your daily calorie intake when choosing something to eat?	hey @CN@ , @SCN@ needs to know you concerned about your daily calorie intake when choosing something to eat?
ask @CN@ , have you studied reported speech before?	hi @CN@ , @SCN@ would like to know, if you had studied reported speech before.
please ask @CN@ about her recent family gathering	hey @CN@ , @SCN@ wants to know about your recent family gathering
ask @CN@ do you prefer chinese food	hey @CN@ , @SCN@ is wondering whether you prefer chinese food
could you ask @CN@ about the safety	hi @CN@ , @SCN@ asked about the safety.
can you ask @CN@ if she has been to canada?	hey @CN@ , @SCN@ would like to know if you have been to canada
ask @CN@, how will heath will come to race	hi @CN@, @SCN@ asks to know how heath will come to race
ask @CN@, what are some good ways to learn english?	hey @CN@, @SCN@ asks what are some good ways to learn english?
ask @CN@, why can’t you go	hi @CN@, @SCN@ would like to know why can't you go
ask @CN@ for discount in selected clothings	hi @CN@ , @SCN@ enquires about the discount in selected clothings
ask @CN@, what from the present will withstand the test of time?	hi @CN@, @SCN@ is asking what from the present will withstand the test of time
ask @CN@ for pendrive	hi @CN@ , @SCN@ is asking for pendrive
ask @CN@ did you vote this time	hey @CN@ , @SCN@ wants to know whether you vote this time
ask @CN@ about the shopping done today	hi @CN@ , @SCN@ would like to know about the shopping done today
tell @CN@ i will be one hour late today	hi @CN@, @SCN@ would like you to know they will be one hour late today.
ask @CN@ ,where is the fish market	hey @CN@ , @SCN@ wants to know where is the fish market
tell @CN@ to be clear in her point	hi @CN@ , @SCN@ told you to be clear in her point.
ask @CN@, why he doesn't want to go out with me?	@CN@, @SCN@ wants to know why you don't want to go out with her?
ask @CN@ about her previous location where she lived	hey @CN@ , @SCN@ wishes to know about your previous location where you lived
ask @CN@ for decrease in the working hours	hi @CN@ , @SCN@ asks for the decrease in the working hours
ask @CN@ , do you have driving license?	hey @CN@ , @SCN@ is asking if you have driving license
remind @CN@ to try capsicum curry recipe that i have shared	hi @CN@, @SCN@ is asking you to try capsicum curry recipe that they have shared
please invite @CN@ to my lawn party.	@CN@, would you like to go to @SCN@'s lawn party?
ask @CN@ about the remake of video	hi @CN@ , @SCN@ wanted to know about the remake of video.
can you ask @CN@ , dou you have a copy of project	hey @CN@ , @SCN@ wonders if you have a copy of project
tell @CN@ to initiate the discussion today	hi @CN@, @SCN@ asks you to initiate the discussion today
please ask @CN@ about the bank robbery case	hey @CN@ , @SCN@ wants to know about the bank robbery case
can you remind @CN@ to call the marketing agency	hi @CN@, @SCN@ reminds you to call the marketing agency
can you ask @CN@ to water the plants	hi @CN@ , @SCN@ wants you to water the plants
ask @CN@ to come to dinner	hi @CN@, @SCN@ would like to invite you over for dinner.
can you ask @CN@ to bring lunch for the kids	hi @CN@ , @SCN@ would like you to bring lunch for the kids
can you tell @CN@ that the blood pressure is low	hey @CN@ , @SCN@ wants you to know that the blood pressure is low
could you please ask @CN@ how to import contacts	hi @CN@, @SCN@ wants to know how to import contacts.
tell @CN@ to repair my laptop	hi @CN@ , @SCN@ is asking you to repair their laptop
ask @CN@ about the climate change	hi @CN@ , @SCN@ would like to know about the climatic change.
can you remind @CN@ to cancel the meeting with the insurance agency	hi @CN@, @SCN@ reminds you to cancel the meeting with the insurance agency
tell @CN@ i will be ten minutes late for the meeting.	@CN@, @SCN@ wanted you to know they will be ten minutes late for the meeting
tell @CN@ , cats are pretty	hey @CN@ , @SCN@ says cats are pretty
can you ask @CN@ , why you lied to me?	hi batman, @SCN@ would like to know why you lied to him?
can you ask @CN@ to decide the place for the vacation	hi @CN@ , @SCN@ requests you to decide the place for the vacation
tell @CN@ to join an engineering college	hi @CN@ , @SCN@ wants you to join an engineering college
can you tell @CN@ there are no more cookies	hi @CN@, @SCN@ says there are no more cookies
can you ask @CN@ to promote the upcoming auction on social media	hi @CN@ , @SCN@ requests you to promote the upcoming auction on social media
ask @CN@ how to reduce weight	hey @CN@ , @SCN@ is curious to know how to reduce weight
ask @CN@ ,where is the nearest bank?	hi @CN@ , @SCN@ questions where is the nearest bank
can you ask @CN@ to change the mattress	hey @CN@ , @SCN@ is requesting you to change the mattress
ask @CN@ what cities he has been to	hey @CN@ , @SCN@ is asking what cities you have been to
ask @CN@ , can i call you as piggy?	hey @CN@ , @SCN@ wants to know if he can call you as piggy
can you ask @CN@ about the chicken recipe	hi @CN@ , @SCN@ wants to know about the chicken recipe
this is a reminder for my @CN@ that i already have the tickets	hi @CN@ , @SCN@ says @SCN@ already have the tickets
ask @CN@ for crackers during festive season	hi @CN@ , @SCN@ requests for crackers during festive season
can you ask @CN@ to get office transportation	hey @CN@ , @SCN@ requests you to get office transportation
please tell @CN@ to draw a bike	hi @CN@ , @SCN@ told you to draw a bike.
can you ask @CN@ about the story of that movie	hey @CN@ , @SCN@ is eager to know about the story of that movie
can you tell @CN@ jaden rides a bicycle	@SCN@ says jaden rides a bicycle
ask @CN@ for increase in temperature of the ac	hi @CN@ , @SCN@ requests to increase the temperature of the ac
can you ask @CN@ if she still wants to have lunch tomorrow	hi @CN@ , @SCN@ is asking if you still wants to have lunch tomorrow
can you ask @CN@ to untie the rope	hi @CN@ , @SCN@ wanted you to untie the rope.
please ask @CN@ to bring the laptop to my room	hi @CN@ , @SCN@ is requesting you to bring the laptop to her room
ask @CN@ , how to make grilled cheese	hey @CN@ , @SCN@ is wondering how to make grilled cheese
can you ask @CN@ to book transportation as per needed	hey @CN@ , @SCN@ is asking you to book transportation as per needed
ask @CN@ ,can i paint?	hi @CN@ , @SCN@ is asking if they can paint
can you ask @CN@ to paint the drawing	hi @CN@ , @SCN@ would like you to paint the drawing.
ask @CN@ ,how did you know john?	hey @CN@ , @SCN@ is eager to know how did you know john?
call @CN@ for an open mic event	hi @CN@ , @SCN@ would like you to attend an open mic event
ask @CN@ to come to movie	hi @CN@ , @SCN@ requests you to go to movie with him
ask @CN@ are you excited	hey @CN@ , @SCN@ questions 'are you excited'
please ask @CN@ about the event held	hi @CN@ , @SCN@ likes to know about the event held
ask @CN@ ,is maria coming with us	hey @CN@ , @SCN@ wants to know if maria is coming with us
ask @CN@ , can you enquire about the details of the land	hey @CN@ , @SCN@ is requesting you to enquire about the details of the land
ask @CN@ , how to make money	hi @CN@ , @SCN@ wants to know how to make money
ask @CN@ about his productive time	hi @CN@ , @SCN@ would like to know about your productive time
can you ask @CN@ to forecast the information	hi @CN@ , @SCN@ requested you to forecast the information.
tell @CN@ to fix the issue	hi @CN@ , @SCN@ asks you to fix the issue
ask @CN@ how to start a conversation	hi @CN@ , @SCN@ would like to know how to start a conversation.
ask @CN@ about the mixed culture in india	hi @CN@ , @SCN@ requests to know about the mixed culture in india
ask @CN@ , can you say some words about the ex-president of usa	hey @CN@ , @SCN@ would like to know if you can say some words about the ex-president of usa
tell @CN@ that the rain is coming soon.	@CN@, @SCN@ says that the rain is coming soon.
tell @CN@ , tomorrow is tuesday.	hey @CN@ , @SCN@ wants to tell you that tomorrow is tuesday.
ask @CN@ , do you read a lot?	hey @CN@ , @SCN@ needs to know if you read a lot?
ask @CN@ to send an invitation for the naming ceremony	hi @CN@ , @SCN@ would like an invitation for the naming ceremony
tell @CN@ that the car will be ready for collection in few days	hi @CN@ , @SCN@ would like to inform you that the car will be ready for collection in few days
ask @CN@ about her home town	hey @CN@ , @SCN@ wants to know about your home town
ask @CN@ what's your blood type?	@SCN@ wants to know what's your blood type?
tell @CN@ to create a presentation	hi @CN@ , @SCN@ asked you to create a presentation.
ask @CN@ about the main evidence in the case	hey @CN@ , @SCN@ is asking about the main evidence in the case
tell @CN@ , doris does not make breakfast.	hey @CN@ , @SCN@ says doris does not make breakfast.
ask @CN@ about his thoughts on the decentralizing mechanism	hi @CN@ , @SCN@ would like to know about your thoughts on the decentralizing mechanism
please ask about the best colour for a house	hey @CN@ , @SCN@ wants to know about the best colour for a house
ask @CN@ ,could you setup a meeting today	hey @CN@ , @SCN@ wants to know if you can setup a meeting today
could you please ask @CN@ about the offer	hi @CN@ , @SCN@ wishes to know about the offer.
ask @CN@ is it hot in the north pole	hey @CN@ @SCN@ is wondering is it hot in the north pole
inform @CN@ there won't be meeting today in park hotel	hi @CN@, @SCN@ want's you to know there won't be meeting today in park hotel
can you ask @CN@ , do you still love your bf?	hi cristy, @SCN@ is asking do you still love your bf?
